核心客户号|签约日期|当前签约日期|零售签约产品代码|零售签约产品描述|签约口径说明
1279652186|2016/2/16|2016/2/16|10134|股票型基金|基金交易流水表（产品属性为股票型 2）且市值>0
1282646437|2015/5/26|2015/5/26|10132|债券型基金|基金交易流水表（产品属性为债券型 3,4）且市值>0
1098223067|2015/2/25|2015/2/25|60113|银联借记卡【钻石卡】|借记卡折一本通（卡bin622618)       
1506399972|2014/1/28|2016/1/12|101112|消费性微型贷款|A205存贷合一卡消费逾期垫款、A207微型信用消费贷款、A20A借贷合一卡个人消费透支，且未结清
1527309331|2016/1/11|2016/1/11|60114|商户卡|借记卡折一本通（卡bin622619）
1282987910|2011/8/15|2011/8/15|20110|外汇买卖|客户签约我行外汇买卖产品，即视为客户持有该产品
1154464394|2015/1/9|2015/1/9|2019A|贵金属业务|产品包括贵金属实盘和贵金属交易
1526890728|2016/3/10|2016/3/10|10143|长期国债|发行期限为5及5年以上，且余额>0
1507496426|2015/2/3|2015/2/3|101142|共同担保贷款|二级担保方式，A005、A006、A007、A008且未结清
1168881509|2011/7/11|2011/7/11|30108|普通信用卡(钻卡)|信用卡表卡状态'01'，结束日期大于20140430，卡级别为'50'
1342457483|2014/2/21|2014/2/21|30106|普通信用卡(白金卡)|信用卡表卡状态'01'，结束日期大于20140430，卡级别为'40'
1272464231|2015/3/3|2015/3/3|20210|随心存|T03_MPM_CONTR中客户为有效客户，则认为该客户签约
1527348447|2016/1/12|2016/1/12|20120|账户及时通|SF2_CSR_PDT_AGT中客户为签约状态，则认为该客户签约
1106497188|2009/3/28|2010/10/10|30107|普通信用卡(豪华白金卡)|信用卡表卡状态'01'，结束日期大于20140430，卡级别为'45'
1505346106|2014/1/13|2016/1/12|101171|互助基金|二级担保方式，C009 且未结清
1501650523|2014/5/22|2014/5/22|50100|薪资理财卡|是否持有薪资理财卡，统计CARD_BIN = '622620'的数据
1500057415|2016/2/19|2016/2/19|10174|万能型保险|INSUR_CATE_CODE = '4'
1503615858|2014/5/19|2014/9/30|101025|三年定期存款|存款协议级汇总表（存款期限三年定期)余额>0
1164115206|2007/7/16|2007/7/16|101121|住房按揭|A101一手住宅按揭贷款、A102二手住宅按揭贷款、A103一手住宅同名转按揭贷款、A104二手住宅同名转按揭贷款，且未结清
1527794172|2016/3/5|2016/3/5|10125|天溢金类（高流通性）理财|产品编号FSAC开头 且余额大于0
1127881730|2016/3/22|2016/3/22|20171|乐生金|T03_AGENT_FUND_DTL_ACCT.PROD_ID IN (690010,690210),且客户有效，则认为签约
1142131888|2014/12/19|2014/12/19|10102A|短期定期存款|产品包括（三个月及以下定期存款 和 六个月定期存款）余额>0
1527309331|2016/1/11|2016/1/11|60116|商隆卡|借记卡折一本通（卡bin622619）且CO_SIGN_NUM in ('0065','0066','0067')。
1343829225|2013/4/10|2015/8/10|10140|国债|国债：如客户名下所有国债余额>0，则该客户持有国债
1127881730|2011/12/29|2011/12/29|20130|网银|SF9_PCIF 中客户状态为正常，则认为是签约客户
1526749525|2016/1/4|2016/1/4|10122|保本收益理财|产品编号FSFA开头 且余额大于0
1500676632|2014/11/6|2014/11/6|101024|两年定期存款|存款协议级汇总表（存款期限两年定期)余额>0
1106475774|2014/7/31|2015/3/10|20140|钱生钱B|T03_MPM_CONTR中客户为有效客户，则认为该客户签约
1261253850|2014/5/11|2015/3/10|10142|中期国债|发行期限为2，3，4年，且余额>0
1101678224|2016/3/2|2016/3/2|10137|偏股型基金 |基金产品属性代码在(2,6)中，且市值>0
1127881730|2015/4/27|2015/4/27|20100|三方存管|三方存管银证合约状态代码 正常，则认为该客户为签约客户
1501650523|2014/2/14|2014/2/14|10124|翠竹系列（中流通性）理财|产品编号FSAB开头 且余额大于0
1506223235|2014/7/7|2016/2/14|10102|定期|定期：如客户名下所有定期存款账户余额>0，则该客户持有定期
1131101826|2009/11/30|2009/11/30|10173|分红型保险|INSUR_CATE_CODE = '3'
1513369049|2014/9/19|2014/9/19|60120|智家卡|小区金融，卡BIN为“621691”； 
1500676632|2016/3/9|2016/3/9|101021|三个月及以下定期存款|存款协议级汇总表（存款期限在3月及以下定期）余额>0
1297438253|2016/2/24|2016/2/24|10171|储蓄型保险|INSUR_CATE_CODE = '1'
1215381902|2013/8/6|2016/3/7|101116|委托贷款|贷款品种在('1902','A401','A402','A403','A404','A405','A406','A407','A408','S701','S702') ，且未结清
1524453203|2016/3/21|2016/3/21|10136|偏债型基金|基金产品属性代码在(3,5)中，且市值>0
1509081982|2015/9/28|2015/9/28|10107|个人存款证明|存款证明主表
1242606404|2012/8/10|2012/8/10|10112|按揭|按揭：如客户名下所有按揭贷款账户余额>0，则该客户持有按揭
1516446002|2015/12/9|2015/12/9|20220|如意宝|T03_RYBAO_ACCT中客户为有效客户，则认为是签约客户
1504307760|2013/11/29|2016/1/12|101161|民生微贷|1、贷款品种为(小微企业个人授信S101、微型个人授信贷款S104、存贷合一卡小微企业逾期垫款S103、借贷合一卡小微企业透支S10A)2、担保方式为信用3、(如果是单笔贷款，要求其发放金额小于等于50万)或者(如果是额度循环类贷款，要求其审批额度小于等于50万)4、非委托贷款,且未结清
1515435061|2014/11/24|2015/11/26|101023|一年定期存款|存款协议级汇总表（存款期限一年定期)余额>0
1526080232|2015/11/18|2015/11/18|60115|财神卡|借记卡折一本通（卡bin622619）且CO_SIGN_NUM in ('0057','0058')
1507496426|2015/2/3|2015/2/3|101122|商用房按揭|A105一手商业用房按揭贷款、A106二手商业用房按揭贷款、A107一手商业用房同名转按揭贷款、A108二手商业用房同名转按揭贷款，且未结清
1526611012|2015/12/31|2015/12/31|101151|质押贷|一级担保方式，BCOLL 且未结清
1171728193|2011/2/13|2011/2/13|60112|银联借记卡【金卡】|借记卡折一本通（卡bin622622 622616 621691) 
1527309331|2016/1/11|2016/1/11|60111|银联借记卡【普卡】|借记卡折一本通（卡bin622620 900003 622622 623258 623255 622619 621692 621691 415599 622618 622617 622615)    
1076254466|2013/1/10|2013/1/10|10114|房贷标志|STAT_CLASS_CD 为 02的客户且贷款余额>0
1256416208|2015/11/10|2015/11/12|20191|贵金属实盘|零售客户金融资产代码为160,且金额>0
1140859290|2012/3/19|2012/3/19|20180|资金归集|包括网银互联授权支付签约 和 网银互联信息查询签约 ，且客户有效，则认为是签约
1171213993|2014/3/7|2014/5/23|10102C|长期定期存款|产品包括三年、四年、五年定期存款 余额>0
1506824132|2014/2/22|2016/2/3|10101|活期|活期：如客户名下所有活期存款账户余额>0，则该客户持有活期
1506223235|2014/4/8|2014/4/8|10123|增利系列（低流通性）理财|产品编号FSAA开头 且余额大于0
1505346106|2015/1/1|2015/1/1|30102|信用卡关联还款|信用卡关联还款：持有我行信用卡的客户设置了关联还款账户，则该客户持有信用卡关联还款
1294235811|2013/1/16|2013/7/24|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1210722334|2015/5/25|2015/5/25|10135|私募基金|基金交易流水表（产品属性为私募 7，a，A，b）且市值>0
1524453203|2016/3/21|2016/3/21|10130|基金|基金：如客户名下所有基金市值>0，则该客户持有基金
1098223067|2016/1/19|2016/1/19|10134|股票型基金|基金交易流水表（产品属性为股票型 2）且市值>0
1127881730|2013/4/22|2016/3/1|10132|债券型基金|基金交易流水表（产品属性为债券型 3,4）且市值>0
1505346106|2014/1/8|2014/1/8|60113|银联借记卡【钻石卡】|借记卡折一本通（卡bin622618)       
1523728659|2015/9/2|2015/9/2|101112|消费性微型贷款|A205存贷合一卡消费逾期垫款、A207微型信用消费贷款、A20A借贷合一卡个人消费透支，且未结清
1515326716|2015/8/16|2015/8/16|60114|商户卡|借记卡折一本通（卡bin622619）
1174212581|2009/5/26|2009/5/26|20110|外汇买卖|客户签约我行外汇买卖产品，即视为客户持有该产品
1256416208|2015/11/10|2015/11/12|2019A|贵金属业务|产品包括贵金属实盘和贵金属交易
1201078336|2014/3/14|2014/3/14|10143|长期国债|发行期限为5及5年以上，且余额>0
1264664973|2012/12/21|2012/12/21|101142|共同担保贷款|二级担保方式，A005、A006、A007、A008且未结清
1248313877|2011/3/16|2011/3/16|30108|普通信用卡(钻卡)|信用卡表卡状态'01'，结束日期大于20140430，卡级别为'50'
1196504136|2012/2/10|2012/2/10|30106|普通信用卡(白金卡)|信用卡表卡状态'01'，结束日期大于20140430，卡级别为'40'
1509124606|2015/3/3|2015/3/3|20210|随心存|T03_MPM_CONTR中客户为有效客户，则认为该客户签约
1106475774|2014/7/31|2015/5/21|20120|账户及时通|SF2_CSR_PDT_AGT中客户为签约状态，则认为该客户签约
1506447534|2014/7/10|2014/7/10|30107|普通信用卡(豪华白金卡)|信用卡表卡状态'01'，结束日期大于20140430，卡级别为'45'
1342412866|2014/1/13|2016/1/4|101171|互助基金|二级担保方式，C009 且未结清
1525192790|2015/10/14|2015/10/14|50100|薪资理财卡|是否持有薪资理财卡，统计CARD_BIN = '622620'的数据
1501742680|2016/2/6|2016/2/6|10174|万能型保险|INSUR_CATE_CODE = '4'
1505986312|2014/1/2|2014/1/2|101025|三年定期存款|存款协议级汇总表（存款期限三年定期)余额>0
1140859290|2012/10/19|2012/10/19|101121|住房按揭|A101一手住宅按揭贷款、A102二手住宅按揭贷款、A103一手住宅同名转按揭贷款、A104二手住宅同名转按揭贷款，且未结清
1513978352|2014/10/10|2014/10/10|10125|天溢金类（高流通性）理财|产品编号FSAC开头 且余额大于0
1516533865|2016/3/1|2016/3/1|20171|乐生金|T03_AGENT_FUND_DTL_ACCT.PROD_ID IN (690010,690210),且客户有效，则认为签约
1508928246|2015/9/29|2015/9/29|10102A|短期定期存款|产品包括（三个月及以下定期存款 和 六个月定期存款）余额>0
1515326716|2015/8/16|2015/8/16|60116|商隆卡|借记卡折一本通（卡bin622619）且CO_SIGN_NUM in ('0065','0066','0067')。
1261253850|2014/5/11|2015/3/10|10140|国债|国债：如客户名下所有国债余额>0，则该客户持有国债
1234226795|2011/12/10|2011/12/10|20130|网银|SF9_PCIF 中客户状态为正常，则认为是签约客户
1513184613|2014/9/15|2014/9/15|10122|保本收益理财|产品编号FSFA开头 且余额大于0
1263557291|2014/10/23|2016/1/4|101024|两年定期存款|存款协议级汇总表（存款期限两年定期)余额>0
1515326716|2014/11/20|2015/8/16|20140|钱生钱B|T03_MPM_CONTR中客户为有效客户，则认为该客户签约
1186996877|2012/11/10|2016/3/10|10142|中期国债|发行期限为2，3，4年，且余额>0
1500702173|2015/3/25|2016/3/2|10137|偏股型基金 |基金产品属性代码在(2,6)中，且市值>0
1280909291|2011/11/4|2015/6/5|20100|三方存管|三方存管银证合约状态代码 正常，则认为该客户为签约客户
1508928246|2014/10/6|2014/10/6|10124|翠竹系列（中流通性）理财|产品编号FSAB开头 且余额大于0
1309870752|2016/2/1|2016/2/1|10102|定期|定期：如客户名下所有定期存款账户余额>0，则该客户持有定期
1257168693|2016/3/7|2016/3/7|10173|分红型保险|INSUR_CATE_CODE = '3'
1506379907|2014/1/22|2014/1/22|60120|智家卡|小区金融，卡BIN为“621691”； 
1140859290|2007/12/21|2015/11/4|101021|三个月及以下定期存款|存款协议级汇总表（存款期限在3月及以下定期）余额>0
1523198524|2016/2/24|2016/2/24|10171|储蓄型保险|INSUR_CATE_CODE = '1'
1208267146|2009/6/4|2009/6/4|30105|普通信用卡(金卡)|信用卡表卡状态'01'，结束日期大于20140430，卡级别为'30'
1185550257|2014/7/7|2016/1/6|10136|偏债型基金|基金产品属性代码在(3,5)中，且市值>0
1510559537|2016/3/22|2016/3/22|10107|个人存款证明|存款证明主表
1185987700|2009/5/15|2009/5/15|10112|按揭|按揭：如客户名下所有按揭贷款账户余额>0，则该客户持有按揭
1505219779|2014/8/18|2014/8/18|20220|如意宝|T03_RYBAO_ACCT中客户为有效客户，则认为是签约客户
1509864623|2014/6/16|2015/6/15|101161|民生微贷|1、贷款品种为(小微企业个人授信S101、微型个人授信贷款S104、存贷合一卡小微企业逾期垫款S103、借贷合一卡小微企业透支S10A)2、担保方式为信用3、(如果是单笔贷款，要求其发放金额小于等于50万)或者(如果是额度循环类贷款，要求其审批额度小于等于50万)4、非委托贷款,且未结清
1128106298|2007/10/10|2007/10/10|101023|一年定期存款|存款协议级汇总表（存款期限一年定期)余额>0
1525380416|2015/10/22|2015/10/22|60115|财神卡|借记卡折一本通（卡bin622619）且CO_SIGN_NUM in ('0057','0058')
1242606404|2012/8/10|2012/8/10|101122|商用房按揭|A105一手商业用房按揭贷款、A106二手商业用房按揭贷款、A107一手商业用房同名转按揭贷款、A108二手商业用房同名转按揭贷款，且未结清
1256033807|2014/6/19|2015/6/18|101151|质押贷|一级担保方式，BCOLL 且未结清
1518281006|2015/12/28|2015/12/28|60112|银联借记卡【金卡】|借记卡折一本通（卡bin622622 622616 621691) 
1106475774|2007/3/12|2015/3/10|60111|银联借记卡【普卡】|借记卡折一本通（卡bin622620 900003 622622 623258 623255 622619 621692 621691 415599 622618 622617 622615)    
1120149937|2006/1/12|2006/1/12|10114|房贷标志|STAT_CLASS_CD 为 02的客户且贷款余额>0
1210722334|2014/7/28|2015/5/13|20191|贵金属实盘|零售客户金融资产代码为160,且金额>0
1504636755|2013/11/25|2013/11/25|20180|资金归集|包括网银互联授权支付签约 和 网银互联信息查询签约 ，且客户有效，则认为是签约
1156573342|2011/8/10|2015/5/5|10102C|长期定期存款|产品包括三年、四年、五年定期存款 余额>0
1515326716|2014/11/20|2015/8/16|10101|活期|活期：如客户名下所有活期存款账户余额>0，则该客户持有活期
1171728193|2012/3/8|2012/3/8|10123|增利系列（低流通性）理财|产品编号FSAA开头 且余额大于0
1135175007|2006/11/13|2008/1/18|30102|信用卡关联还款|信用卡关联还款：持有我行信用卡的客户设置了关联还款账户，则该客户持有信用卡关联还款
1158304723|2015/7/24|2015/8/25|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1510559537|2015/12/10|2015/12/18|10135|私募基金|基金交易流水表（产品属性为私募 7，a，A，b）且市值>0
1127881730|2013/4/22|2016/3/22|10130|基金|基金：如客户名下所有基金市值>0，则该客户持有基金
1519765472|2015/6/4|2015/6/18|10134|股票型基金|基金交易流水表（产品属性为股票型 2）且市值>0
1508652512|2015/6/1|2015/6/1|10132|债券型基金|基金交易流水表（产品属性为债券型 3,4）且市值>0
1516446002|2015/2/3|2015/2/3|60113|银联借记卡【钻石卡】|借记卡折一本通（卡bin622618)       
1522510133|2015/9/7|2015/9/10|101112|消费性微型贷款|A205存贷合一卡消费逾期垫款、A207微型信用消费贷款、A20A借贷合一卡个人消费透支，且未结清
1527667229|2016/1/26|2016/1/26|60114|商户卡|借记卡折一本通（卡bin622619）
1504346002|2016/2/4|2016/2/4|20110|外汇买卖|客户签约我行外汇买卖产品，即视为客户持有该产品
1210722334|2014/7/28|2015/5/13|2019A|贵金属业务|产品包括贵金属实盘和贵金属交易
1186996877|2013/11/10|2014/5/12|10143|长期国债|发行期限为5及5年以上，且余额>0
1076254466|2013/1/10|2013/1/10|101142|共同担保贷款|二级担保方式，A005、A006、A007、A008且未结清
1301613548|2014/5/6|2015/6/19|30108|普通信用卡(钻卡)|信用卡表卡状态'01'，结束日期大于20140430，卡级别为'50'
1289927782|2011/11/4|2011/11/4|30106|普通信用卡(白金卡)|信用卡表卡状态'01'，结束日期大于20140430，卡级别为'40'
1500454361|2014/8/27|2014/8/27|20210|随心存|T03_MPM_CONTR中客户为有效客户，则认为该客户签约
1506824132|2014/2/22|2016/2/3|20120|账户及时通|SF2_CSR_PDT_AGT中客户为签约状态，则认为该客户签约
1504254789|2014/7/5|2014/7/5|30107|普通信用卡(豪华白金卡)|信用卡表卡状态'01'，结束日期大于20140430，卡级别为'45'
1500024855|2014/1/26|2015/1/26|101171|互助基金|二级担保方式，C009 且未结清
1296742356|2012/1/4|2012/1/4|50100|薪资理财卡|是否持有薪资理财卡，统计CARD_BIN = '622620'的数据
1506825347|2016/1/12|2016/1/12|10174|万能型保险|INSUR_CATE_CODE = '4'
1262358127|2016/3/22|2016/3/22|101025|三年定期存款|存款协议级汇总表（存款期限三年定期)余额>0
1264664973|2012/10/29|2012/10/29|101121|住房按揭|A101一手住宅按揭贷款、A102二手住宅按揭贷款、A103一手住宅同名转按揭贷款、A104二手住宅同名转按揭贷款，且未结清
1527268718|2016/1/28|2016/1/28|10125|天溢金类（高流通性）理财|产品编号FSAC开头 且余额大于0
1153962107|2016/3/22|2016/3/22|20171|乐生金|T03_AGENT_FUND_DTL_ACCT.PROD_ID IN (690010,690210),且客户有效，则认为签约
1197108524|2015/2/16|2015/2/16|10102A|短期定期存款|产品包括（三个月及以下定期存款 和 六个月定期存款）余额>0
1527667229|2016/1/26|2016/1/26|60116|商隆卡|借记卡折一本通（卡bin622619）且CO_SIGN_NUM in ('0065','0066','0067')。
1526890728|2016/3/10|2016/3/10|10140|国债|国债：如客户名下所有国债余额>0，则该客户持有国债
1343268272|2014/9/11|2014/9/11|20130|网银|SF9_PCIF 中客户状态为正常，则认为是签约客户
1234084893|2013/7/31|2013/7/31|10122|保本收益理财|产品编号FSFA开头 且余额大于0
1226530543|2010/8/21|2016/1/14|101024|两年定期存款|存款协议级汇总表（存款期限两年定期)余额>0
1527667229|2016/1/26|2016/1/26|20140|钱生钱B|T03_MPM_CONTR中客户为有效客户，则认为该客户签约
1201078336|2014/11/10|2014/11/10|10142|中期国债|发行期限为2，3，4年，且余额>0
1519698173|2015/6/8|2015/6/8|10137|偏股型基金 |基金产品属性代码在(2,6)中，且市值>0
1229515015|2010/12/10|2010/12/10|20100|三方存管|三方存管银证合约状态代码 正常，则认为该客户为签约客户
1506036148|2014/1/5|2014/1/5|10124|翠竹系列（中流通性）理财|产品编号FSAB开头 且余额大于0
1153962107|2007/3/26|2015/9/20|10102|定期|定期：如客户名下所有定期存款账户余额>0，则该客户持有定期
1342251899|2016/3/7|2016/3/7|10173|分红型保险|INSUR_CATE_CODE = '3'
1519271393|2015/2/16|2015/2/16|60120|智家卡|小区金融，卡BIN为“621691”； 
1500454361|2015/3/25|2016/1/14|101021|三个月及以下定期存款|存款协议级汇总表（存款期限在3月及以下定期）余额>0
1523431965|2016/3/3|2016/3/3|10171|储蓄型保险|INSUR_CATE_CODE = '1'
1342457483|2014/3/4|2014/3/4|30105|普通信用卡(金卡)|信用卡表卡状态'01'，结束日期大于20140430，卡级别为'30'
1519094824|2016/2/16|2016/3/1|10136|偏债型基金|基金产品属性代码在(3,5)中，且市值>0
1313011554|2014/11/11|2014/11/11|10112|按揭|按揭：如客户名下所有按揭贷款账户余额>0，则该客户持有按揭
1280417919|2015/9/25|2015/9/25|20220|如意宝|T03_RYBAO_ACCT中客户为有效客户，则认为是签约客户
1506182234|2014/2/20|2015/3/5|101161|民生微贷|1、贷款品种为(小微企业个人授信S101、微型个人授信贷款S104、存贷合一卡小微企业逾期垫款S103、借贷合一卡小微企业透支S10A)2、担保方式为信用3、(如果是单笔贷款，要求其发放金额小于等于50万)或者(如果是额度循环类贷款，要求其审批额度小于等于50万)4、非委托贷款,且未结清
1500713476|2014/11/5|2016/1/13|101023|一年定期存款|存款协议级汇总表（存款期限一年定期)余额>0
1331573464|2012/12/6|2015/12/24|10111|商贷通|商贷通：如客户名下有商贷通的贷款账户 ，且未结清（有剩余本金）则该客户持有商贷通
1319143913|2015/3/28|2015/3/28|101151|质押贷|一级担保方式，BCOLL 且未结清
1506028314|2014/1/4|2014/1/4|60112|银联借记卡【金卡】|借记卡折一本通（卡bin622622 622616 621691) 
1506824132|2014/2/22|2016/2/3|60111|银联借记卡【普卡】|借记卡折一本通（卡bin622620 900003 622622 623258 623255 622619 621692 621691 415599 622618 622617 622615)    
1185987700|2009/5/15|2009/5/15|10114|房贷标志|STAT_CLASS_CD 为 02的客户且贷款余额>0
1088748094|2016/1/6|2016/1/6|20191|贵金属实盘|零售客户金融资产代码为160,且金额>0
1504307760|2014/11/20|2014/11/20|20180|资金归集|包括网银互联授权支付签约 和 网银互联信息查询签约 ，且客户有效，则认为是签约
1503615858|2014/5/19|2014/9/30|10102C|长期定期存款|产品包括三年、四年、五年定期存款 余额>0
1527667229|2016/1/26|2016/1/26|10101|活期|活期：如客户名下所有活期存款账户余额>0，则该客户持有活期
1508652512|2014/5/5|2014/5/5|10123|增利系列（低流通性）理财|产品编号FSAA开头 且余额大于0
1160082369|2008/4/21|2008/4/21|30102|信用卡关联还款|信用卡关联还款：持有我行信用卡的客户设置了关联还款账户，则该客户持有信用卡关联还款
1508652512|2014/5/5|2014/5/5|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1327938885|2015/11/16|2016/3/21|10135|私募基金|基金交易流水表（产品属性为私募 7，a，A，b）且市值>0
1508652512|2015/5/28|2016/3/8|10130|基金|基金：如客户名下所有基金市值>0，则该客户持有基金
1283936747|2016/3/16|2016/3/16|10134|股票型基金|基金交易流水表（产品属性为股票型 2）且市值>0
1121313781|2016/3/1|2016/3/1|10132|债券型基金|基金交易流水表（产品属性为债券型 3,4）且市值>0
1190824152|2015/8/18|2015/8/18|60113|银联借记卡【钻石卡】|借记卡折一本通（卡bin622618)       
1521762843|2015/6/11|2015/6/11|101112|消费性微型贷款|A205存贷合一卡消费逾期垫款、A207微型信用消费贷款、A20A借贷合一卡个人消费透支，且未结清
1527806037|2016/2/1|2016/2/1|60114|商户卡|借记卡折一本通（卡bin622619）
1234367378|2010/2/24|2010/2/24|20110|外汇买卖|客户签约我行外汇买卖产品，即视为客户持有该产品
1088748094|2016/1/6|2016/1/6|2019A|贵金属业务|产品包括贵金属实盘和贵金属交易
1343829225|2013/4/10|2015/8/10|10143|长期国债|发行期限为5及5年以上，且余额>0
1273368690|2014/1/20|2016/1/14|101142|共同担保贷款|二级担保方式，A005、A006、A007、A008且未结清
1212207569|2011/5/26|2015/6/18|30108|普通信用卡(钻卡)|信用卡表卡状态'01'，结束日期大于20140430，卡级别为'50'
1210722334|2012/5/24|2014/5/12|30106|普通信用卡(白金卡)|信用卡表卡状态'01'，结束日期大于20140430，卡级别为'40'
1528024203|2016/2/19|2016/2/19|20210|随心存|T03_MPM_CONTR中客户为有效客户，则认为该客户签约
1515326716|2014/11/20|2015/8/16|20120|账户及时通|SF2_CSR_PDT_AGT中客户为签约状态，则认为该客户签约
1165061214|2012/3/18|2012/3/18|101027|五年定期存款|存款协议级汇总表（存款期限五年定期)余额>0
1339384941|2014/1/26|2016/1/21|101171|互助基金|二级担保方式，C009 且未结清
1296740230|2012/1/4|2012/1/4|50100|薪资理财卡|是否持有薪资理财卡，统计CARD_BIN = '622620'的数据
1506634363|2015/4/29|2015/4/29|10174|万能型保险|INSUR_CATE_CODE = '4'
1514277239|2014/10/22|2014/10/22|101025|三年定期存款|存款协议级汇总表（存款期限三年定期)余额>0
1170793335|2007/9/21|2007/9/21|101121|住房按揭|A101一手住宅按揭贷款、A102二手住宅按揭贷款、A103一手住宅同名转按揭贷款、A104二手住宅同名转按揭贷款，且未结清
1309870752|2016/2/5|2016/2/5|10125|天溢金类（高流通性）理财|产品编号FSAC开头 且余额大于0
1513754097|2016/3/21|2016/3/21|20171|乐生金|T03_AGENT_FUND_DTL_ACCT.PROD_ID IN (690010,690210),且客户有效，则认为签约
1514220698|2015/10/20|2015/10/20|10102A|短期定期存款|产品包括（三个月及以下定期存款 和 六个月定期存款）余额>0
1527806037|2016/2/1|2016/2/1|60116|商隆卡|借记卡折一本通（卡bin622619）且CO_SIGN_NUM in ('0065','0066','0067')。
1508208828|2014/4/11|2014/4/11|10140|国债|国债：如客户名下所有国债余额>0，则该客户持有国债
1515326716|2014/11/20|2014/11/20|20130|网银|SF9_PCIF 中客户状态为正常，则认为是签约客户
1343268272|2013/1/25|2013/1/25|10122|保本收益理财|产品编号FSFA开头 且余额大于0
1502296236|2014/1/3|2014/9/22|101024|两年定期存款|存款协议级汇总表（存款期限两年定期)余额>0
1513369049|2014/9/19|2014/9/19|20140|钱生钱B|T03_MPM_CONTR中客户为有效客户，则认为该客户签约
1520197317|2015/6/10|2015/6/10|10142|中期国债|发行期限为2，3，4年，且余额>0
1283936747|2016/3/16|2016/3/16|10137|偏股型基金 |基金产品属性代码在(2,6)中，且市值>0
1504346002|2014/8/1|2014/8/1|20100|三方存管|三方存管银证合约状态代码 正常，则认为该客户为签约客户
1506503592|2014/1/29|2014/1/29|10124|翠竹系列（中流通性）理财|产品编号FSAB开头 且余额大于0
1241420359|2011/3/7|2016/2/25|10102|定期|定期：如客户名下所有定期存款账户余额>0，则该客户持有定期
1343865260|2016/3/7|2016/3/7|10173|分红型保险|INSUR_CATE_CODE = '3'
1506028314|2014/1/4|2014/1/4|60120|智家卡|小区金融，卡BIN为“621691”； 
1162338650|2011/12/20|2015/9/20|101021|三个月及以下定期存款|存款协议级汇总表（存款期限在3月及以下定期）余额>0
1501933438|2016/2/24|2016/2/24|10171|储蓄型保险|INSUR_CATE_CODE = '1'
