I_CODE	A_TYPE	M_TYPE	PRODUCT_CYCLIC	RISK_GRADE	COLLECT_CURRENCY	COLLECT_DATE_BEG	COLLECT_DATE_END	BASE_SALE_AMOUNT	REDEEM_SETTLE_ACCOUNT_NAME	REP_MTR_DATE	REP_RTN_RATE	REP_BEG_DATE	START_DT
FGAA14066A	SPT_LBS	X_CNBD	129	2	CNY	2014-05-08	2014-05-08	500000.000000	非凡资产管理双月增利对公款	2014-07-14	0.051000	2014-05-12	2015/10/15
FSAA14201N	SPT_LBS	X_CNBD		2	CNY	2014-07-10	2014-07-10	100000.000000	非凡资产管理35天增利普通款	2014-08-21	0.054500	2014-07-17	2015/10/15
FGAA13198B	SPT_LBS	X_CNBD	110	2	CNY	2013-12-30	2014-01-01	500000.000000		2014-03-03	0.060000	2014-01-02	2015/10/15
FSAA15100D	SPT_LBS	X_CNBD		2	CNY	2015-02-27	2015-02-27	1000000.000000	非凡资产管理4个月增利普通款	2015-07-06	0.057000	2015-03-02	2015/12/21
FSAA14031B	SPT_LBS	X_CNBD	116	2	CNY	2014-02-10	2014-02-12	200000.000000		2014-05-13	0.059500	2014-02-13	2015/10/15
FGAA14111B	SPT_LBS	X_CNBD		2	CNY	2014-07-28	2014-07-28	500000.000000	非凡资产管理季增利对公款	2014-10-30	0.051000	2014-07-30	2015/10/15
FGFA15125A	SPT_LBS	X_CNBD		1	CNY	2015-10-22	2015-10-22	500000.000000	非凡资产管理35天保本对公款	2015-12-03	0.035000	2015-10-29	2015/10/26
FGAA14161H	SPT_LBS	X_CNBD		2	CNY	2014-10-31	2014-10-31	100000000.000000	非凡资产管理35天增利对公款	2014-12-05	0.050000	2014-10-31	2015/10/15
FSAA14328B	SPT_LBS	X_CNBD		2	CNY	2014-10-13	2014-10-13	200000.000000	非凡资产管理半年增利高端款	2015-04-16	0.053000	2014-10-16	2015/10/15
FSAA16134B	SPT_LBS	X_CNBD		2	CNY	2016-03-30	2016-03-30	200000.000000	非凡资产管理双月增利高端款	2016-06-06	0.043000	2016-04-05	2016/3/29
FSAA1569PB	SPT_LBS	X_CNBD		2	CNY	2015-08-26	2015-08-26	100000.000000	非凡资产管理4个月增利普通款	2016-01-05	0.050000	2015-09-01	2015/10/15
FSAA15004B	SPT_LBS	X_CNBD		2	CNY	2015-01-04	2015-01-04	200000.000000	非凡资产管理4个月增利高端款	2015-05-12	0.053500	2015-01-06	2015/12/21
FGAA13121B	SPT_LBS	X_CNBD	0	2	CNY	2013-08-12	2013-08-12	500000.000000	非凡资产管理35天增利对公款	2013-09-22	0.048500	2013-08-15	2015/10/15
FGAA15291C	SPT_LBS	X_CNBD		2	CNY	2015-04-23	2015-04-23	100000000.000000	非凡资产管理35天增利对公款	2015-05-28	0.054500	2015-04-23	2015/12/21
FSAA14035D	SPT_LBS	X_CNBD	117	2	CNY	2014-02-13	2014-02-17	1000000.000000		2014-05-19	0.061000	2014-02-18	2015/10/15
FSFA15207A	SPT_LBS	X_CNBD		1	CNY	2015-10-15	2015-10-15	50000.000000	非凡资产管理双月保本普通款	2015-12-22	0.037500	2015-10-22	2015/10/15
FSAA14227X	SPT_LBS	X_CNBD		2	CNY	2014-08-01	2014-08-01	50000.000000	非凡资产管理季增利普通款	2014-11-06	0.055000	2014-08-07	2015/10/15
FGAA15651E	SPT_LBS	X_CNBD		2	CNY	2015-11-26	2015-11-26	100000000.000000	非凡资产管理半年增利对公款	2016-05-26	0.041000	2015-11-26	2015/11/26
FSAA13302D	SPT_LBS	X_CNBD	112	2	CNY	2014-01-09	2014-01-09	1000000.000000	非凡资产管理半年增利尊享款	2014-07-14	0.060000	2014-01-13	2015/10/15
FGAA14083B	SPT_LBS	X_CNBD	133	2	CNY	2014-06-09	2014-06-09	500000.000000	非凡资产管理季增利对公款	2014-09-12	0.052000	2014-06-12	2015/10/15
FGAA14034T	SPT_LBS	X_CNBD	121	2	CNY	2014-03-13	2014-03-17	10000000.000000		2014-05-19	0.052000	2014-03-18	2015/10/15
FSAA1549AA	SPT_LBS	X_CNBD		2	CNY	2015-06-18	2015-06-18	50000.000000	非凡资产管理35天增利普通款	2015-07-30	0.054000	2015-06-25	2015/12/21
FSAA14307M	SPT_LBS	X_CNBD		2	CNY	2014-09-29	2014-09-29	50000.000000	非凡资产管理季增利普通款	2015-01-08	0.055000	2014-10-08	2015/10/15
FSAA13212D	SPT_LBS	X_CNBD	101	2	CNY	2013-10-24	2013-10-27	1000000.000000		2013-12-30	0.051500	2013-10-28	2015/10/15
FSAA14076M	SPT_LBS	X_CNBD	122	2	CNY	2014-03-20	2014-03-20	50000.000000	非凡资产管理半年增利普通款	2014-09-24	0.057000	2014-03-24	2015/10/15
FSAA16003D	SPT_LBS	X_CNBD		2	CNY	2016-01-05	2016-01-05	1000000.000000	非凡资产管理季增利尊享款	2016-04-11	0.046500	2016-01-11	2016/1/4
FSAA16103A	SPT_LBS	X_CNBD		2	CNY	2016-03-14	2016-03-14	50000.000000	非凡资产管理35天增利普通款	2016-04-21	0.042500	2016-03-17	2016/3/9
FSAA13275D	SPT_LBS	X_CNBD	109	2	CNY	2013-12-20	2013-12-23	1000000.000000		2014-01-28	0.062500	2013-12-24	2015/10/15
FGAA16063A	SPT_LBS	X_CNBD		2	CNY	2016-02-18	2016-02-18	500000.000000	非凡资产管理季增利对公款	2016-05-23	0.040500	2016-02-22	2016/2/19
FSAA13187M	SPT_LBS	X_CNBD	098	2	CNY	2013-09-29	2013-10-07	50000.000000		2013-11-12	0.055000	2013-10-08	2015/10/15
FSAA14390D	SPT_LBS	X_CNBD		2	CNY	2014-11-21	2014-11-21	1000000.000000	非凡资产管理双月增利尊享款	2015-01-26	0.053000	2014-11-25	2015/10/15
FGAA16016Y	SPT_LBS	X_CNBD		2	CNY	2016-01-07	2016-01-07	50000000.000000	非凡资产管理35天增利对公款	2016-02-14	0.035000	2016-01-07	2016/1/21
FSAA15190D	SPT_LBS	X_CNBD		2	CNY	2015-04-20	2015-04-20	1000000.000000	非凡资产管理4个月增利尊享款	2015-08-27	0.054000	2015-04-23	2015/12/21
FGAA15049A	SPT_LBS	X_CNBD		2	CNY	2015-01-15	2015-01-15	500000.000000	非凡资产管理半年增利对公款	2015-07-20	0.052500	2015-01-19	2015/12/21
FSAA14030D	SPT_LBS	X_CNBD	116	2	CNY	2014-02-10	2014-02-12	1000000.000000		2014-04-14	0.060500	2014-02-13	2015/10/15
FSAA16177D	SPT_LBS	X_CNBD		2	CNY	2016-04-26	2016-04-26	1000000.000000	非凡资产管理季增利尊享款	2016-07-29	0.041500	2016-04-29	2016/4/20
FSAA1549SA	SPT_LBS	X_CNBD		2	CNY	2015-06-18	2015-06-18	50000.000000	非凡资产管理4个月增利普通款	2015-10-29	0.055500	2015-06-25	2015/10/15
FSAA15324A	SPT_LBS	X_CNBD		2	CNY	2015-07-06	2015-07-06	50000.000000	非凡资产管理半年增利普通款	2016-01-11	0.053500	2015-07-09	2015/10/15
FSAB13006B	SPT_DED	X_CNBD		2	CNY	2013-10-17	2013-10-17	200000.000000	非凡资产管理翠竹5W理财产品周四高端款	2017-12-31	0.042000	2013-10-24	2016/4/21
FSAA15243B	SPT_LBS	X_CNBD		2	CNY	2015-05-20	2015-05-20	200000.000000	非凡资产管理季增利高端款	2015-08-25	0.053000	2015-05-25	2015/10/15
FGAA15242B	SPT_LBS	X_CNBD		2	CNY	2015-04-13	2015-04-13	500000.000000	非凡资产管理35天增利对公款	2015-05-21	0.053500	2015-04-16	2015/12/21
FSAA13165X	SPT_LBS	X_CNBD	095	2	CNY	2013-09-13	2013-09-16	50000.000000		2013-12-17	0.054000	2013-09-17	2015/10/15
FSAA14103N	SPT_LBS	X_CNBD	125	2	CNY	2014-04-11	2014-04-11	100000.000000	非凡资产管理季增利普通款	2014-07-17	0.056500	2014-04-17	2015/10/15
FSAA1591WB	SPT_LBS	X_CNBD		2	CNY	2015-11-12	2015-11-12	100000.000000	非凡资产管理半年增利普通款	2016-05-19	0.046500	2015-11-19	2015/11/20
FSAA1551PA	SPT_LBS	X_CNBD		2	CNY	2015-06-25	2015-06-25	50000.000000	非凡资产管理4个月增利普通款	2015-11-05	0.054000	2015-07-02	2015/10/15
FSAA14095A	SPT_LBS	X_CNBD	124	2	CNY	2014-04-08	2014-04-08	50000.000000	非凡资产管理季增利普通款	2014-07-10	0.053500	2014-04-10	2015/10/15
FSAA14162A	SPT_LBS	X_CNBD	133	2	CNY	2014-06-06	2014-06-06	50000.000000	非凡资产管理双月增利普通款	2014-08-11	0.053000	2014-06-09	2015/10/15
FSAA16050D	SPT_LBS	X_CNBD		2	CNY	2016-02-05	2016-02-05	1000000.000000	非凡资产管理双月增利尊享款	2016-04-15	0.044500	2016-02-15	2016/2/4
FSAA16055D	SPT_LBS	X_CNBD		2	CNY	2016-02-15	2016-02-15	1000000.000000	非凡资产管理35天增利尊享款	2016-03-24	0.044500	2016-02-18	2016/2/4
FSFA15246A	SPT_LBS	X_CNBD		1	CNY	2015-12-10	2015-12-10	50000.000000	非凡资产管理35天保本普通款	2016-01-21	0.038000	2015-12-17	2015/12/9
FGAA13036A	SPT_LBS	X_CNBD	0	2	CNY	2013-03-07	2013-03-07	500000.000000	非凡资产管理半年增利对公款	2013-09-16	0.044500	2013-03-14	2015/10/15
FGAA15283D	SPT_LBS	X_CNBD		2	CNY	2015-04-22	2015-04-22	100000000.000000	非凡资产管理半年增利对公款	2015-10-22	0.056000	2015-04-22	2015/10/15
FSAA14451N	SPT_LBS	X_CNBD		2	CNY	2014-12-25	2014-12-25	100000.000000	非凡资产管理季增利普通款	2015-03-30	0.056500	2014-12-29	2015/10/15
FSAA15368A	SPT_LBS	X_CNBD		2	CNY	2015-08-03	2015-08-03	50000.000000	非凡资产管理双月增利普通款	2015-10-08	0.051500	2015-08-06	2015/10/15
FGFA14024A	SPT_LBS	X_CNBD		2	CNY	2014-11-26	2014-11-26	500000.000000	非凡资产管理35天保本对公款	2015-01-06	0.041000	2014-12-02	2015/10/15
FSAA13272B	SPT_LBS	X_CNBD	108	2	CNY	2013-12-16	2013-12-18	200000.000000		2014-02-19	0.061500	2013-12-19	2015/10/15
FGAA14066C	SPT_LBS	X_CNBD	129	2	CNY	2014-05-13	2014-05-13	100000000.000000	非凡资产管理双月增利对公款	2014-07-14	0.051000	2014-05-13	2015/10/15
FSAA13122G	SPT_LBS	X_CNBD	0	2	CNY	2013-08-05	2013-08-05	50000.000000	非凡资产管理双月增利普通款	2013-10-08	0.048500	2013-08-08	2015/10/15
FSFA14084A	SPT_LBS	X_CNBD		2	CNY	2014-12-17	2014-12-17	50000.000000	非凡资产管理35天保本普通款	2015-01-28	0.042500	2014-12-24	2015/10/15
FSAA1537AA	SPT_LBS	X_CNBD		2	CNY	2015-05-07	2015-05-07	50000.000000	非凡资产管理35天增利普通款	2015-06-18	0.053000	2015-05-14	2015/12/21
FGAA13145C	SPT_LBS	X_CNBD	096	2	CNY	2013-09-22	2013-09-22	100000000.000000		2013-10-28	0.052000	2013-09-23	2015/10/15
FSAA15358A	SPT_LBS	X_CNBD		2	CNY	2015-07-27	2015-07-27	50000.000000	非凡资产管理4个月增利普通款	2015-12-03	0.052000	2015-07-30	2015/10/15
FSAA14457B	SPT_LBS	X_CNBD		2	CNY	2014-12-29	2014-12-29	200000.000000	非凡资产管理季增利高端款	2015-04-07	0.055000	2015-01-04	2015/12/21
FSAA14185R	SPT_LBS	X_CNBD	136	2	CNY	2014-06-26	2014-06-26	100000.000000	非凡资产管理35天增利普通款	2014-08-05	0.056500	2014-07-01	2015/10/15
FGAA15549C	SPT_LBS	X_CNBD		2	CNY	2015-08-06	2015-08-06	50000000.000000	非凡资产管理双月增利对公款	2015-10-08	0.046000	2015-08-06	2015/10/15
FSAA16160A	SPT_LBS	X_CNBD		2	CNY	2016-04-14	2016-04-14	50000.000000	非凡资产管理4个月增利普通款	2016-08-23	0.041500	2016-04-19	2016/4/26
FSAA14062D	SPT_LBS	X_CNBD	120	2	CNY	2014-03-10	2014-03-13	1000000.000000		2014-05-14	0.058500	2014-03-14	2015/10/15
FSAA13123B	SPT_LBS	X_CNBD	0	2	CNY	2013-08-07	2013-08-07	200000.000000	非凡资产管理35天增利高端款	2013-09-16	0.049000	2013-08-12	2015/10/15
FSAA1518HA	SPT_LBS	X_CNBD		2	CNY	2015-03-03	2015-03-03	100000.000000	非凡资产管理季增利普通款	2015-06-08	0.056500	2015-03-06	2015/12/21
FSAA13271B	SPT_LBS	X_CNBD	108	2	CNY	2013-12-17	2013-12-19	200000.000000		2014-01-24	0.060000	2013-12-20	2015/10/15
FGFA16009A	SPT_LBS	X_CNBD		1	CNY	2016-01-27	2016-01-27	500000.000000	非凡资产管理35天保本对公款	2016-03-09	0.032500	2016-02-01	2016/1/29
FSAA14090A	SPT_LBS	X_CNBD	124	2	CNY	2014-04-02	2014-04-07	50000.000000		2014-06-09	0.053500	2014-04-08	2015/10/15
FSAA14275R	SPT_LBS	X_CNBD		2	CNY	2014-09-12	2014-09-12	100000.000000	非凡资产管理季增利普通款	2014-12-18	0.054000	2014-09-18	2015/10/15
FSAA13086G	SPT_LBS	X_CNBD	0	2	CNY	2013-06-13	2013-06-13	50000.000000	非凡资产管理双月增利普通款	2013-08-14	0.044500	2013-06-14	2015/10/15
FGAA16128A	SPT_LBS	X_CNBD		2	CNY	2016-04-08	2016-04-08	500000.000000	非凡资产管理季增利对公款	2016-07-05	0.039000	2016-04-12	2016/4/26
FSAA14215D	SPT_LBS	X_CNBD		2	CNY	2014-07-22	2014-07-22	1000000.000000	非凡资产管理季增利尊享款	2014-10-27	0.054000	2014-07-25	2015/10/15
FSAA13109B	SPT_LBS	X_CNBD	0	2	CNY	2013-07-19	2013-07-19	200000.000000	非凡资产管理35天增利高端款	2013-08-27	0.049000	2013-07-23	2015/10/15
FSAA13163N	SPT_LBS	X_CNBD	095	2	CNY	2013-09-17	2013-09-21	100000.000000		2013-10-28	0.052000	2013-09-22	2015/10/15
FSAA14180B	SPT_LBS	X_CNBD		2	CNY	2014-06-20	2014-06-20	200000.000000	非凡资产管理半年增利高端款	2014-12-24	0.056500	2014-06-24	2015/10/15
FGAA14194C	SPT_LBS	X_CNBD		2	CNY	2014-12-25	2014-12-25	100000000.000000	非凡资产管理双月增利对公款	2015-02-25	0.056500	2014-12-25	2015/10/15
FGAA14066E	SPT_LBS	X_CNBD	129	2	CNY	2014-05-15	2014-05-15	100000000.000000	非凡资产管理双月增利对公款	2014-07-15	0.054000	2014-05-15	2015/10/15
FSAA15105D	SPT_LBS	X_CNBD		2	CNY	2015-03-03	2015-03-03	1000000.000000	非凡资产管理季增利尊享款	2015-06-08	0.054500	2015-03-06	2015/12/21
FGAB15031B	SPT_DED	X_CNBD		2	CNY	2015-11-03	2015-11-03	50000000.000000	非凡资产管理翠竹同益1M产品	2020-12-31	0.033000	2015-11-04	2016/4/5
FSAA15189A	SPT_LBS	X_CNBD		2	CNY	2015-04-20	2015-04-20	50000.000000	非凡资产管理季增利普通款	2015-07-23	0.053000	2015-04-23	2015/12/21
FSAA14180R	SPT_LBS	X_CNBD		2	CNY	2014-06-20	2014-06-20	100000.000000	非凡资产管理半年增利普通款	2014-12-29	0.057000	2014-06-27	2015/10/15
FSAA16094B	SPT_LBS	X_CNBD		2	CNY	2016-03-07	2016-03-07	200000.000000	非凡资产管理4个月增利高端款	2016-07-14	0.043500	2016-03-10	2016/3/23
FSAA15229A	SPT_LBS	X_CNBD		2	CNY	2015-05-13	2015-05-13	50000.000000	非凡资产管理35天增利普通款	2015-06-23	0.052000	2015-05-19	2015/12/21
FSAA15187D	SPT_LBS	X_CNBD		2	CNY	2015-04-21	2015-04-21	1000000.000000	非凡资产管理35天增利尊享款	2015-05-29	0.054500	2015-04-24	2015/12/21
FSAB11005B	SPT_DED	X_CNBD	0	2	CNY	2011-11-16	2011-11-16	200000.000000	非凡资产管理周增利周五高端款	2016-04-01	0.025000	2011-11-18	2016/3/22
FGAA13078A	SPT_LBS	X_CNBD	0	2	CNY	2013-05-23	2013-05-23	500000.000000	非凡资产管理双月增利对公款	2013-07-30	0.041000	2013-05-30	2015/10/15
FGAA14195V	SPT_LBS	X_CNBD		2	CNY	2014-12-18	2014-12-18	100000000.000000	非凡资产管理季增利对公款	2015-03-23	0.057000	2014-12-22	2015/10/15
FSAA14413D	SPT_LBS	X_CNBD		2	CNY	2014-12-05	2014-12-05	1000000.000000	非凡资产管理35天增利尊享款	2015-01-12	0.052500	2014-12-08	2015/10/15
FSAA15536F	SPT_LBS	X_CNBD		2	CNY	2015-11-06	2015-11-06	100000.000000	非凡资产管理双月增利普通款	2016-01-12	0.047000	2015-11-12	2015/11/4
FSAA15021A	SPT_LBS	X_CNBD		2	CNY	2015-01-12	2015-01-12	50000.000000	非凡资产管理季增利普通款	2015-04-15	0.053500	2015-01-15	2015/12/21
FSAA1615KB	SPT_LBS	X_CNBD		2	CNY	2016-03-03	2016-03-03	100000.000000	非凡资产管理季增利普通款	2016-06-12	0.044000	2016-03-10	2016/3/2
FSAA14190Q	SPT_LBS	X_CNBD	136	2	CNY	2014-06-26	2014-06-26	50000.000000	非凡资产管理双月增利普通款	2014-09-03	0.057500	2014-07-03	2015/10/15
FSAA14305D	SPT_LBS	X_CNBD		2	CNY	2014-09-28	2014-09-28	1000000.000000	非凡资产管理35天增利尊享款	2014-11-12	0.055500	2014-10-08	2015/10/15
FSAA14153E	SPT_LBS	X_CNBD	132	2	CNY	2014-05-30	2014-05-30	10000000.000000	非凡资产管理35天增利尊特款	2014-07-08	0.055000	2014-06-03	2015/10/15
FGAB14014A	SPT_DED	X_CNBD		2	CNY	2014-12-22	2014-12-22	10000000.000000	非凡资产管理翠竹2W理财产品周四对公款	2017-12-31	0.037000	2014-12-25	2016/3/31
FGAA15430C	SPT_LBS	X_CNBD		2	CNY	2015-06-16	2015-06-16	100000000.000000	非凡资产管理4个月增利对公款	2015-10-20	0.047000	2015-06-16	2015/10/15
FSAA1599PB	SPT_LBS	X_CNBD		2	CNY	2015-12-10	2015-12-10	100000.000000	非凡资产管理4个月增利普通款	2016-04-21	0.046000	2015-12-17	2015/12/21
FGAA14056A	SPT_LBS	X_CNBD	126	2	CNY	2014-04-17	2014-04-17	500000.000000	非凡资产管理半年增利对公款	2014-10-24	0.053000	2014-04-24	2015/10/15
FGAA14090C	SPT_LBS	X_CNBD	135	2	CNY	2014-06-23	2014-06-23	100000000.000000	非凡资产管理双月增利对公款	2014-08-25	0.056000	2014-06-23	2015/10/15
FSAA1581AA	SPT_LBS	X_CNBD		2	CNY	2015-10-09	2015-10-09	50000.000000	非凡资产管理35天增利普通款	2015-11-19	0.049000	2015-10-15	2015/10/15
FSAA1520DA	SPT_LBS	X_CNBD		2	CNY	2015-03-10	2015-03-10	100000.000000	非凡资产管理双月增利普通款	2015-05-13	0.056000	2015-03-13	2015/12/21
FSAA14452N	SPT_LBS	X_CNBD		2	CNY	2014-12-25	2014-12-25	100000.000000	非凡资产管理4个月增利普通款	2015-05-04	0.055000	2014-12-29	2015/10/15
FSAA14068M	SPT_LBS	X_CNBD	121	2	CNY	2014-03-13	2014-03-13	50000.000000	非凡资产管理半年增利普通款	2014-09-18	0.057000	2014-03-18	2015/10/15
FSAA1527XA	SPT_LBS	X_CNBD		2	CNY	2015-04-02	2015-04-02	100000.000000	非凡资产管理半年增利普通款	2015-10-09	0.055000	2015-04-09	2015/10/15
FGAA13169T	SPT_LBS	X_CNBD	103	2	CNY	2013-11-07	2013-11-11	10000000.000000		2013-12-17	0.051000	2013-11-12	2015/10/15
FSAA1601EA	SPT_LBS	X_CNBD		2	CNY	2016-01-07	2016-01-07	50000.000000	非凡资产管理双月增利普通款	2016-03-14	0.045500	2016-01-14	2016/1/6
FSAA14032B	SPT_LBS	X_CNBD	116	2	CNY	2014-02-10	2014-02-10	200000.000000	非凡资产管理半年增利高端款	2014-08-14	0.059500	2014-02-14	2015/10/15
FGAA13140A	SPT_LBS	X_CNBD	0	2	CNY	2013-09-05	2013-09-05	500000.000000	非凡资产管理半年增利对公款	2014-03-12	0.054000	2013-09-12	2015/10/15
FSAA15553B	SPT_LBS	X_CNBD		2	CNY	2015-11-18	2015-11-18	200000.000000	非凡资产管理35天增利高端款	2015-12-28	0.045500	2015-11-23	2015/11/17
FSAA14432A	SPT_LBS	X_CNBD		2	CNY	2014-12-15	2014-12-15	50000.000000	非凡资产管理双月增利普通款	2015-02-17	0.052000	2014-12-18	2015/10/15
FGAA13186T	SPT_LBS	X_CNBD	107	2	CNY	2013-12-05	2013-12-09	10000000.000000		2014-02-10	0.056000	2013-12-10	2015/10/15
FGAA15435A	SPT_LBS	X_CNBD		2	CNY	2015-06-18	2015-06-18	500000.000000	非凡资产管理35天增利对公款	2015-07-28	0.049000	2015-06-23	2015/12/21
FSAA14246B	SPT_LBS	X_CNBD		2	CNY	2014-08-18	2014-08-18	200000.000000	非凡资产管理双月增利高端款	2014-10-21	0.052000	2014-08-21	2015/12/21
FGAA13159T	SPT_LBS	X_CNBD	100	2	CNY	2013-10-17	2013-10-21	10000000.000000		2014-01-22	0.052000	2013-10-22	2015/10/15
FSAA1513QA	SPT_LBS	X_CNBD		2	CNY	2015-02-12	2015-02-12	100000.000000	非凡资产管理4个月增利普通款	2015-06-23	0.057000	2015-02-16	2015/12/21
FSAA15596G	SPT_LBS	X_CNBD		2	CNY	2015-12-10	2015-12-10	50000.000000	非凡资产管理双月增利普通款	2016-02-17	0.048000	2015-12-17	2015/12/9
FSAA14217M	SPT_LBS	X_CNBD		2	CNY	2014-07-24	2014-07-24	50000.000000	非凡资产管理35天增利普通款	2014-09-04	0.053000	2014-07-31	2015/10/15
FSAA1535HA	SPT_LBS	X_CNBD		2	CNY	2015-04-30	2015-04-30	50000.000000	非凡资产管理双月增利普通款	2015-07-07	0.054500	2015-05-07	2015/12/21
FSAA14211B	SPT_LBS	X_CNBD		2	CNY	2014-07-17	2014-07-17	200000.000000	非凡资产管理季增利高端款	2014-10-22	0.053000	2014-07-22	2015/10/15
FGAA14175B	SPT_LBS	X_CNBD		2	CNY	2014-11-18	2014-11-18	500000.000000	非凡资产管理季增利对公款	2015-02-26	0.050000	2014-11-21	2015/10/15
FGFA15120A	SPT_LBS	X_CNBD		1	CNY	2015-10-10	2015-10-10	500000.000000	非凡资产管理半年保本对公款	2016-04-14	0.037000	2015-10-14	2015/10/19
FSAA1543SD	SPT_LBS	X_CNBD		2	CNY	2015-05-29	2015-05-29	50000.000000	非凡资产管理4个月增利普通款	2015-10-08	0.055000	2015-06-04	2015/10/15
FSAA1585YB	SPT_LBS	X_CNBD		2	CNY	2015-10-23	2015-10-23	50000.000000	非凡资产管理半年增利普通款	2016-04-28	0.049500	2015-10-29	2015/10/26
FSAA15396F	SPT_LBS	X_CNBD		2	CNY	2015-08-13	2015-08-13	100000.000000	非凡资产管理半年增利普通款	2016-02-22	0.052000	2015-08-20	2015/10/15
FSAA15128B	SPT_LBS	X_CNBD		2	CNY	2015-03-16	2015-03-16	200000.000000	非凡资产管理双月增利高端款	2015-05-19	0.054500	2015-03-19	2015/12/21
FSAA14151B	SPT_LBS	X_CNBD	131	2	CNY	2014-05-26	2014-05-26	200000.000000	非凡资产管理季增利高端款	2014-08-29	0.053500	2014-05-29	2015/10/15
FGAA15630A	SPT_LBS	X_CNBD		2	CNY	2015-11-05	2015-11-05	500000.000000	非凡资产管理双月增利对公款	2016-01-11	0.045000	2015-11-09	2015/11/20
FGFA15083A	SPT_LBS	X_CNBD		1	CNY	2015-07-07	2015-07-07	500000.000000	非凡资产管理35天保本对公款	2015-08-13	0.038500	2015-07-09	2015/12/21
