核心客户号,Y107,Y170,Y130,所属机构,性别,年龄,婚姻,学历,从属行业,理财抗风险等级,客户层级,新老客户标记,五级分类,小微客户类型,消费类资产产品,纯消费性微贷标记,纯质押贷款标记,非储投资偏好,高金融资产标记,购买大额他行理财标记,大额消费标记,信用卡高还款标记,信用卡高端消费标记,优质行业标记,高代发额客户标记,潜在高端客户标记,客户贡献度,客户活跃度,客户渠道偏好,客户金融资产偏好,Rank_107
1054784883,0,0,0,东风支行,女,54.0,已婚,本科,,中庸型,有效户,老客户,正常类,非小微客户,,,,,,,,信用卡高还款额,信用卡高消费额,,,潜在高端客户,较高贡献,低活跃,POS交易偏好型,定存偏好型,4985
1054787416,0,0,1,荷花池支行,女,48.0,,,公共管理与社会组织,温和成长型,银卡,老客户,正常类,非小微客户,,,,非储中基金偏好,,,,,,,,,中贡献,低活跃,POS交易偏好型,基债偏好型,5667
1055891036,0,0,0,永丰支行,女,49.0,已婚,本科,公共管理与社会组织,稳健保守型,银卡,老客户,正常类,非小微客户,,,,非储中理财偏好,,,,,,,,,较高贡献,较高活跃,手机银行偏好型,理财偏好型,4580
1056364315,0,0,0,永丰支行,男,18.0,,,,,有效户,老客户,正常类,非小微客户,,,,,,,,,,,,,较高贡献,低活跃,POS交易偏好型,定存偏好型,5481
1057071911,0,1,1,营业部,女,65.0,,,,稳健保守型,银卡,新客户,正常类,小微无贷户,,,,非储中保险偏好,,,,,,,,,低贡献,较高活跃,渠道均衡型,基债偏好型,4598
1057320544,0,0,0,九眼桥支行,女,54.0,,,,稳健保守型,银卡,老客户,正常类,非小微客户,,,,非储中理财偏好,高金融资产,,,信用卡高还款额,,,,潜在高端客户,中贡献,高活跃,渠道均衡型,理财偏好型,5341
1057970753,0,1,1,清江支行,女,63.0,已婚,专科,公共管理与社会组织,积极成长型,银卡,老客户,正常类,非小微客户,,,,非储中保险偏好,,,,,,,,,中贡献,中活跃,柜台偏好型,基债偏好型,5220
1058078511,1,1,1,滨江支行,女,36.0,,,,中庸型,银卡,老客户,正常类,非小微客户,,,,非储中保险偏好,,,,,,,,,较高贡献,高活跃,柜台偏好型,定存偏好型,4927
1058410148,0,0,0,锦江支行,女,64.0,,研究生,,稳健保守型,银卡,老客户,正常类,非小微客户,,,,非储中理财偏好,,,,,,,,,较高贡献,高活跃,网银偏好型,资产均衡型,5221
1060205471,0,0,0,青羊支行,女,62.0,已婚,本科,公共管理与社会组织,中庸型,钻卡,老客户,正常类,非小微客户,,,,非储中理财偏好,高金融资产,,,,,,,潜在高端客户,高贡献,高活跃,POS交易偏好型,定存偏好型,4772
1060552069,1,1,1,荷花池支行,女,41.0,,本科,金融业,中庸型,钻卡,老客户,正常类,非小微客户,,,,非储中理财偏好,高金融资产,,,,,从事优质行业,高代发额客户,潜在高端客户,高贡献,高活跃,渠道均衡型,资产均衡型,4856
1063405499,0,0,1,东风支行,女,47.0,,专科,金融业,积极成长型,金卡,老客户,正常类,非小微客户,,,,非储中理财偏好,高金融资产,,,,,从事优质行业,高代发额客户,潜在高端客户,高贡献,高活跃,手机银行偏好型,资产均衡型,5589
1065541164,0,1,0,科华支行,女,60.0,,,,,银卡,老客户,正常类,小微无贷户,,,,非储中保险偏好,,,,,,,,,中贡献,中活跃,柜台偏好型,基债偏好型,5360
1065543134,1,0,1,神仙树支行,女,37.0,已婚,本科,金融业,中庸型,金卡,老客户,正常类,非小微客户,住房按揭,,,非储中理财偏好,高金融资产,,,信用卡高还款额,,从事优质行业,高代发额客户,潜在高端客户,高贡献,高活跃,渠道均衡型,资产均衡型,3839
1068072023,0,0,1,西体路支行,男,37.0,未婚,本科,教育,稳健保守型,银卡,老客户,正常类,非小微客户,住房按揭,,,非储中理财偏好,,,,,,,,,高贡献,较高活跃,手机银行偏好型,贷款偏好型,2775
1072021178,0,0,0,神仙树支行,女,63.0,,,公共管理与社会组织,中庸型,银卡,老客户,正常类,非小微客户,,,,,,,,,,,,,高贡献,高活跃,柜台偏好型,定存偏好型,3917
1074188875,0,0,0,营业部,男,46.0,,,,,金卡,老客户,正常类,非小微客户,,,,,,,,,,,,,中贡献,较高活跃,网银偏好型,基债偏好型,4101
1076016902,0,1,0,青羊支行,女,52.0,,,,稳健保守型,银卡,老客户,正常类,非小微客户,,,,非储中理财偏好,,,,,,,,,中贡献,较高活跃,柜台偏好型,理财偏好型,1041
1076254466,0,1,1,铁像寺支行,女,33.0,,,金融业,积极成长型,金卡,老客户,正常类,非小微客户,住房按揭,,,非储中理财偏好,,,,,,,,,高贡献,高活跃,渠道均衡型,资产均衡型,3185
1079613017,0,0,0,锦江支行,男,67.0,,,公共管理与社会组织,中庸型,银卡,老客户,正常类,非小微客户,,,,非储中理财偏好,,,,,,,,,高贡献,较高活跃,柜台偏好型,资产均衡型,4375
1079775497,0,1,1,营业部,男,38.0,,本科,,积极成长型,银卡,老客户,正常类,非小微客户,其他消费类,,,非储中保险偏好,,,,信用卡高还款额,信用卡高消费额,从事优质行业,高代发额客户,潜在高端客户,较高贡献,高活跃,渠道均衡型,贷款偏好型,4179
1080688453,1,1,1,铁像寺支行,女,62.0,,,,积极成长型,钻卡,新客户,正常类,非小微客户,,,,非储中理财偏好,高金融资产,,,,,,,潜在高端客户,高贡献,高活跃,手机银行偏好型,资产均衡型,3991
1080955004,0,0,0,分行本级,女,45.0,,,,,有效户,老客户,正常类,非小微客户,,,,,,,,,,,,,较低贡献,低活跃,网银偏好型,基债偏好型,3698
1082029629,0,0,0,营业部,女,36.0,,,,,有效户,新客户,正常类,小微无贷户,,,,,,,,,,,,,较高贡献,较高活跃,渠道均衡型,活储偏好型,5439
1082124952,1,0,0,滨江支行,女,39.0,,,,中庸型,银卡,老客户,正常类,非小微客户,,,,非储中理财偏好,,,,信用卡高还款额,,,,潜在高端客户,较高贡献,较高活跃,渠道均衡型,理财偏好型,5604
1085374078,0,0,0,营业部,女,54.0,,,居民服务和其他服务业,非常保守型,有效户,老客户,正常类,非小微客户,,,,,,,,,,,,,中贡献,低活跃,自助设备偏好型,定存偏好型,5673
1085645303,0,0,0,青羊支行,女,44.0,已婚,研究生,金融业,,无效户,老客户,正常类,非小微客户,,,,,,,,,,,,,中贡献,低活跃,POS交易偏好型,活储偏好型,5670
1086168668,0,1,1,东风支行,女,52.0,,,,温和成长型,银卡,老客户,正常类,非小微客户,,,,非储中理财偏好,高金融资产,,大额消费行为,,,,,潜在高端客户,较高贡献,较高活跃,渠道均衡型,理财偏好型,5239
1087179970,0,0,0,滨江支行,男,49.0,已婚,,,稳健保守型,金卡,老客户,正常类,小微有贷已结清客户,,,,非储中理财偏好,,,,,,,,,高贡献,高活跃,手机银行偏好型,资产均衡型,4841
1087180121,0,0,0,荷花池支行,女,47.0,已婚,,信息传输、计算机服务和软件业,,银卡,新客户,正常类,非小微客户,,,,,,,,,,从事优质行业,高代发额客户,潜在高端客户,较高贡献,较高活跃,手机银行偏好型,活储偏好型,4852
1087462879,0,0,0,西体路支行,男,55.0,已婚,,公共管理与社会组织,中庸型,金卡,新客户,正常类,非小微客户,,,,非储中理财偏好,高金融资产,,,,,,,潜在高端客户,高贡献,较高活跃,手机银行偏好型,理财偏好型,4981
1087747948,1,1,1,滨江支行,女,66.0,,,,稳健保守型,银卡,老客户,正常类,非小微客户,,,,非储中保险偏好,,,,,,,,,较高贡献,较高活跃,柜台偏好型,资产均衡型,5254
1088276927,0,1,0,温江支行,男,54.0,已婚,,,,银卡,老客户,正常类,小微有贷未结清客户,,,,非储中保险偏好,,,,信用卡高还款额,信用卡高消费额,,,潜在高端客户,高贡献,较高活跃,柜台偏好型,贷款偏好型,3564
1088379799,0,0,0,分行本级,女,66.0,已婚,本科,公共管理与社会组织,稳健保守型,银卡,老客户,正常类,非小微客户,,,,非储中理财偏好,,,,,,,,,较高贡献,中活跃,自助设备偏好型,理财偏好型,4113
1088658774,0,0,0,营业部,女,38.0,,,,,有效户,老客户,正常类,小微无贷户,,,,,,,,,,,,,较高贡献,高活跃,网银偏好型,定存偏好型,4213
1088696864,0,0,0,九眼桥支行,女,60.0,,,,中庸型,有效户,老客户,正常类,非小微客户,,,,,,,,,,,,,较高贡献,中活跃,手机银行偏好型,活储偏好型,138
1088746317,1,0,1,分行本级,女,43.0,,本科,金融业,积极成长型,钻卡,老客户,正常类,非小微客户,住房按揭,,,非储中基金偏好,高金融资产,,,信用卡高还款额,信用卡高消费额,从事优质行业,高代发额客户,潜在高端客户,高贡献,高活跃,手机银行偏好型,基债偏好型,2766
1088816357,0,0,0,光华支行,女,43.0,,,卫生、社会保障和社会福利业,温和成长型,金卡,老客户,正常类,非小微客户,,,,非储中理财偏好,,,,,,,,,较高贡献,较高活跃,网银偏好型,理财偏好型,4282
1089088700,0,1,1,东风支行,女,64.0,,,,稳健保守型,金卡,老客户,正常类,非小微客户,,,,非储中理财偏好,高金融资产,,,,,,,潜在高端客户,高贡献,高活跃,手机银行偏好型,资产均衡型,2168
1089509966,0,0,0,永丰支行,女,54.0,,,建筑业,稳健保守型,金卡,老客户,正常类,非小微客户,,,,非储中理财偏好,高金融资产,,大额消费行为,,,,,潜在高端客户,较高贡献,高活跃,柜台偏好型,资产均衡型,4718
1089569475,0,0,0,青羊支行,女,84.0,,,,,金卡,新客户,正常类,非小微客户,,,,,高金融资产,,,,,,,潜在高端客户,高贡献,较高活跃,柜台偏好型,定存偏好型,5141
1089574333,1,0,0,东风支行,女,82.0,,,公共管理与社会组织,中庸型,钻卡,老客户,正常类,非小微客户,,,,非储中理财偏好,高金融资产,,,,,,,潜在高端客户,高贡献,较高活跃,柜台偏好型,资产均衡型,4837
1090409915,0,1,1,分行本级,男,66.0,,,,稳健保守型,银卡,老客户,正常类,非小微客户,,,,非储中基金偏好,,,大额消费行为,,,,,潜在高端客户,中贡献,较高活跃,柜台偏好型,基债偏好型,3045
1090522220,0,0,0,科华支行,男,67.0,,,,中庸型,有效户,老客户,正常类,非小微客户,,,,非储中理财偏好,,,,,,,,,中贡献,中活跃,柜台偏好型,理财偏好型,3510
1090757040,0,0,0,永丰支行,男,64.0,,,,稳健保守型,金卡,老客户,正常类,非小微客户,,,,,高金融资产,,,,,,,潜在高端客户,高贡献,高活跃,网银偏好型,基债偏好型,3199
1091191253,0,0,0,科华支行,女,38.0,,,,,银卡,老客户,正常类,非小微客户,,,,,,,,,,,,,高贡献,高活跃,网银偏好型,定存偏好型,2667
1091282581,1,0,1,建设路支行,女,85.0,已婚,专科,,稳健保守型,银卡,老客户,正常类,非小微客户,,,,非储中基金偏好,高金融资产,,,,,,,潜在高端客户,高贡献,较高活跃,自助设备偏好型,资产均衡型,5324
1091760403,0,0,0,锦江支行,男,76.0,,,,中庸型,钻卡,老客户,正常类,非小微客户,,,,非储中理财偏好,高金融资产,,,,,,,潜在高端客户,较高贡献,高活跃,渠道均衡型,资产均衡型,5367
1091801498,0,0,0,东风支行,女,46.0,,,公共管理与社会组织,,有效户,老客户,正常类,非小微客户,,,,,,,,,,,,,中贡献,低活跃,POS交易偏好型,定存偏好型,4406
1091872520,0,1,1,滨江支行,女,66.0,,中专或高中,,稳健保守型,金卡,老客户,正常类,小微有贷已结清客户,,,,非储中理财偏好,高金融资产,,,,,,,潜在高端客户,高贡献,较高活跃,渠道均衡型,定存偏好型,4583
1091985646,0,1,0,东风支行,女,61.0,已婚,本科,,中庸型,金卡,老客户,正常类,非小微客户,,,,非储中理财偏好,,,,,,,,,较高贡献,较高活跃,柜台偏好型,资产均衡型,4932
1091997980,0,0,0,青羊支行,女,48.0,,,,中庸型,无效户,老客户,正常类,非小微客户,,,,,高金融资产,,,,,,,潜在高端客户,中贡献,高活跃,渠道均衡型,理财偏好型,5451
1092062775,0,0,0,荷花池支行,男,49.0,,,,,有效户,老客户,正常类,非小微客户,,,,,,,,,,,,,较低贡献,中活跃,网银偏好型,活储偏好型,5348
1092452606,0,0,0,青羊支行,女,44.0,,,,稳健保守型,金卡,老客户,正常类,非小微客户,,,,非储中理财偏好,高金融资产,,,,,,,潜在高端客户,较高贡献,高活跃,网银偏好型,资产均衡型,4780
1092505547,0,0,0,郫县支行,男,40.0,,,,,有效户,老客户,正常类,非小微客户,,,,,,,,信用卡高还款额,信用卡高消费额,,,潜在高端客户,较高贡献,高活跃,渠道均衡型,贷款偏好型,3816
1092533832,0,1,1,新津支行,男,66.0,,,公共管理与社会组织,,银卡,老客户,正常类,非小微客户,,,,非储中基金偏好,,,,,,,,,较高贡献,中活跃,柜台偏好型,定存偏好型,879
1092539280,0,0,0,锦江支行,女,61.0,,,,温和成长型,银卡,老客户,正常类,非小微客户,,,,非储中理财偏好,,,,,,,,,中贡献,中活跃,自助设备偏好型,理财偏好型,2265
1092719764,0,1,0,滨江支行,女,52.0,,,,中庸型,银卡,老客户,正常类,非小微客户,,,,非储中保险偏好,,购买了大额他行理财,大额消费行为,,,,,潜在高端客户,中贡献,较高活跃,柜台偏好型,基债偏好型,1238
1092808122,1,0,0,东风支行,女,38.0,,,公共管理与社会组织,温和成长型,银卡,老客户,正常类,非小微客户,,,,非储中理财偏好,,,,,,,,,较高贡献,中活跃,手机银行偏好型,活储偏好型,1821
1092954699,0,0,0,永丰支行,男,92.0,,,,,有效户,老客户,正常类,非小微客户,,,,,,,,,,,,,高贡献,中活跃,柜台偏好型,定存偏好型,5078
1093014329,1,0,0,荷花池支行,男,85.0,,,,稳健保守型,金卡,老客户,正常类,非小微客户,,,,非储中理财偏好,高金融资产,,,,,,,潜在高端客户,高贡献,较高活跃,柜台偏好型,资产均衡型,1496
1093130315,0,1,0,滨江支行,女,48.0,已婚,专科,居民服务和其他服务业,,有效户,老客户,正常类,非小微客户,,,,非储中保险偏好,,,,,,,,,,,,,5595
1093144546,0,0,0,滨江支行,女,64.0,,,,中庸型,银卡,老客户,正常类,非小微客户,,,,非储中理财偏好,,,,,,,,,中贡献,高活跃,渠道均衡型,理财偏好型,3165
1093189717,0,0,0,金沙支行,女,43.0,已婚,本科,金融业,温和成长型,钻卡,老客户,正常类,非小微客户,,,,非储中理财偏好,高金融资产,,,,,,,潜在高端客户,高贡献,高活跃,POS交易偏好型,资产均衡型,3859
1093365526,1,0,0,都江堰支行,女,56.0,,,公共管理与社会组织,稳健保守型,银卡,老客户,正常类,非小微客户,,,,非储中理财偏好,,,,,,,,,较高贡献,低活跃,POS交易偏好型,资产均衡型,1595
1093366679,0,1,0,分行本级,女,40.0,,,,中庸型,钻卡,老客户,正常类,非小微客户,,,,非储中理财偏好,高金融资产,,,,,,,潜在高端客户,高贡献,高活跃,网银偏好型,理财偏好型,3311
1093374880,0,0,0,青羊支行,女,39.0,,,,,无效户,新客户,正常类,非小微客户,,,,,,,,,,,,,,,,,4957
1093487790,0,0,0,神仙树支行,男,55.0,,,,中庸型,银卡,老客户,正常类,非小微客户,,,,非储中理财偏好,高金融资产,,,,,,,潜在高端客户,较高贡献,较高活跃,自助设备偏好型,资产均衡型,5672
1093606130,0,0,0,青羊支行,女,49.0,,,,,有效户,老客户,正常类,非小微客户,消费型微贷,纯消费类微贷客户,,,,,,信用卡高还款额,,,,潜在高端客户,中贡献,低活跃,POS交易偏好型,贷款偏好型,5674
1093608217,0,1,0,滨江支行,女,61.0,已婚,专科,,稳健保守型,银卡,老客户,正常类,小微无贷户,,,,非储中理财偏好,,,,,,,,,中贡献,较高活跃,自助设备偏好型,资产均衡型,665
1093637532,0,0,0,分行本级,女,66.0,,,公共管理与社会组织,稳健保守型,有效户,老客户,正常类,非小微客户,,,,,,,,,,,,,较低贡献,中活跃,网银偏好型,基债偏好型,5552
1093730490,0,1,0,科华支行,女,65.0,,,,中庸型,银卡,老客户,正常类,非小微客户,,,,非储中理财偏好,,,,,,,,,低贡献,较高活跃,柜台偏好型,资产均衡型,4849
1094024312,0,0,0,九眼桥支行,女,43.0,,,金融业,中庸型,有效户,老客户,正常类,非小微客户,,,,,,,,,,,,,,,,,3500
1094459608,0,0,0,青羊支行,女,40.0,,,公共管理与社会组织,中庸型,钻卡,老客户,正常类,非小微客户,,,,非储中理财偏好,高金融资产,,,,,,,潜在高端客户,高贡献,高活跃,手机银行偏好型,资产均衡型,662
1094742064,0,0,0,分行本级,女,64.0,已婚,本科,,稳健保守型,银卡,老客户,正常类,非小微客户,,,,非储中理财偏好,高金融资产,,,,,,,潜在高端客户,较高贡献,较高活跃,渠道均衡型,理财偏好型,1057
1094784865,0,0,0,永丰支行,女,81.0,已婚,专科,农、林、牧、渔业,温和成长型,银卡,老客户,正常类,非小微客户,,,,非储中理财偏好,,,,,,,,,较高贡献,低活跃,POS交易偏好型,理财偏好型,583
1095122561,0,0,1,金沙支行,女,39.0,,,,稳健保守型,钻卡,老客户,正常类,非小微客户,,,,非储中理财偏好,高金融资产,,,信用卡高还款额,,,,潜在高端客户,高贡献,较高活跃,手机银行偏好型,资产均衡型,3487
1095369855,0,0,0,滨江支行,女,36.0,未婚,本科,金融业,积极成长型,有效户,老客户,正常类,非小微客户,,,,,,,,,,,,,较高贡献,低活跃,手机银行偏好型,活储偏好型,750
1095394756,1,0,1,清江支行,女,62.0,,,,稳健保守型,银卡,老客户,正常类,非小微客户,,,,非储中理财偏好,,,,,,,,,较高贡献,较高活跃,自助设备偏好型,资产均衡型,2218
1096037910,0,0,0,铁像寺支行,男,41.0,已婚,本科,租赁和商务服务业,,无效户,新客户,正常类,小微无贷户,,,,,,,,,,,,,,,,,3860
1096239652,0,1,0,永丰支行,女,41.0,已婚,专科,批发和零售业,中庸型,有效户,老客户,正常类,非小微客户,,,,非储中保险偏好,,,,,,,,,,,,,5050
1096375012,1,0,0,永丰支行,女,40.0,,,金融业,中庸型,银卡,老客户,正常类,非小微客户,,,,非储中理财偏好,,,,,,,,,中贡献,低活跃,POS交易偏好型,资产均衡型,5339
1096495185,1,0,1,营业部,男,83.0,,,,稳健保守型,银卡,老客户,正常类,非小微客户,,,,非储中理财偏好,,,,,,,,,较高贡献,中活跃,柜台偏好型,资产均衡型,3616
1096872910,0,1,0,分行本级,女,60.0,,,,中庸型,银卡,老客户,正常类,非小微客户,,,,非储中基金偏好,,,,,,,,,较高贡献,较高活跃,柜台偏好型,基债偏好型,386
1097238388,0,0,0,滨江支行,女,42.0,,,,温和成长型,银卡,老客户,正常类,非小微客户,,,,非储中理财偏好,高金融资产,,,,,,,潜在高端客户,较高贡献,高活跃,网银偏好型,资产均衡型,3069
1097253931,0,1,0,科华支行,女,43.0,已婚,中专或高中,,中庸型,金卡,老客户,正常类,非小微客户,,,,非储中保险偏好,高金融资产,,,信用卡高还款额,,,,潜在高端客户,较高贡献,高活跃,自助设备偏好型,基债偏好型,4078
1097260784,1,0,0,青羊支行,女,51.0,,,,稳健保守型,银卡,老客户,正常类,小微无贷户,,,,非储中理财偏好,,,大额消费行为,信用卡高还款额,,,,潜在高端客户,中贡献,较高活跃,手机银行偏好型,定存偏好型,4642
1097426408,0,0,0,滨江支行,女,65.0,,,,,有效户,老客户,正常类,非小微客户,,,,,,,,,,,,,中贡献,低活跃,POS交易偏好型,定存偏好型,3591
1097432804,0,0,0,光华支行,女,55.0,,,,,银卡,老客户,正常类,非小微客户,,,,,,,,,,,,,高贡献,较高活跃,网银偏好型,定存偏好型,3921
1097550223,0,0,0,营业部,女,40.0,,,,中庸型,银卡,老客户,正常类,非小微客户,,,,非储中理财偏好,,,,,,,,,较高贡献,高活跃,渠道均衡型,定存偏好型,5551
1097700153,1,0,0,青羊支行,女,39.0,,,,稳健保守型,钻卡,老客户,正常类,非小微客户,,,,非储中理财偏好,高金融资产,,,信用卡高还款额,,,,潜在高端客户,高贡献,中活跃,POS交易偏好型,理财偏好型,4002
1097790790,1,1,1,清江支行,女,62.0,已婚,中专或高中,,积极成长型,金卡,老客户,正常类,非小微客户,,,,非储中理财偏好,高金融资产,,,,,,,潜在高端客户,高贡献,高活跃,POS交易偏好型,资产均衡型,3652
1098222890,0,0,1,西体路支行,女,58.0,,,,中庸型,银卡,老客户,正常类,非小微客户,,,,非储中基金偏好,,,,,,,,,中贡献,较高活跃,POS交易偏好型,基债偏好型,742
1098223067,0,1,1,永丰支行,女,47.0,,,公共管理与社会组织,积极成长型,钻卡,老客户,正常类,非小微客户,,,,非储中理财偏好,高金融资产,,,,,,,潜在高端客户,高贡献,高活跃,手机银行偏好型,资产均衡型,4355
1098225419,0,0,0,青羊支行,女,40.0,,,,稳健保守型,银卡,老客户,正常类,非小微客户,,,,非储中理财偏好,,,,,,,,,中贡献,高活跃,POS交易偏好型,资产均衡型,3433
1098772007,1,0,1,营业部,女,46.0,,,,稳健保守型,钻卡,老客户,正常类,小微无贷户,,,,非储中理财偏好,高金融资产,,,,,,,潜在高端客户,高贡献,高活跃,手机银行偏好型,资产均衡型,2322
1098778595,0,0,0,荷花池支行,女,35.0,,,,,有效户,新客户,正常类,非小微客户,,,,,,,,,,,,,中贡献,高活跃,手机银行偏好型,贷款偏好型,4146
1099087833,1,0,0,荷花池支行,女,46.0,,,,积极成长型,钻卡,老客户,正常类,非小微客户,其他消费类,,,,高金融资产,,,信用卡高还款额,,从事优质行业,高代发额客户,潜在高端客户,高贡献,高活跃,手机银行偏好型,定存偏好型,2730
1099087894,0,0,1,荷花池支行,男,43.0,,,公共管理与社会组织,积极成长型,无效户,老客户,正常类,非小微客户,,,,非储中基金偏好,,,,,,,,,中贡献,高活跃,自助设备偏好型,活储偏好型,3406
1099090535,1,0,1,科华支行,女,47.0,,,,温和成长型,银卡,老客户,正常类,非小微客户,,,,非储中理财偏好,,,,,,,,,中贡献,较高活跃,渠道均衡型,资产均衡型,2915
1099112487,0,0,0,东风支行,女,51.0,已婚,本科,,稳健保守型,银卡,老客户,正常类,非小微客户,,,,非储中理财偏好,高金融资产,,,,,,,潜在高端客户,高贡献,较高活跃,渠道均衡型,理财偏好型,3252
1099118393,0,0,0,永丰支行,女,48.0,,,公共管理与社会组织,,有效户,老客户,正常类,非小微客户,,,,,,,,,,,,,低贡献,低活跃,POS交易偏好型,活储偏好型,4661
1099118616,0,0,0,清江支行,女,55.0,,,,中庸型,银卡,老客户,正常类,非小微客户,,,,非储中理财偏好,,,,,,,,,中贡献,中活跃,网银偏好型,理财偏好型,5435
1099131694,0,0,0,东风支行,女,62.0,,,,中庸型,无效户,老客户,正常类,非小微客户,,,,非储中理财偏好,,,大额消费行为,,,,,潜在高端客户,中贡献,中活跃,网银偏好型,理财偏好型,5317
1099134499,0,1,0,锦江支行,男,38.0,,,,,银卡,老客户,正常类,小微有贷未结清客户,,,,非储中保险偏好,,,,,,,,,高贡献,高活跃,渠道均衡型,贷款偏好型,5514
1099136647,0,0,0,营业部,女,72.0,,,,稳健保守型,有效户,老客户,正常类,非小微客户,,,,非储中理财偏好,高金融资产,,,,,,,潜在高端客户,较高贡献,较高活跃,柜台偏好型,理财偏好型,3751
1099144803,0,1,0,永丰支行,男,44.0,,,,稳健保守型,钻卡,老客户,正常类,非小微客户,,,,非储中理财偏好,高金融资产,,,,,,,潜在高端客户,高贡献,较高活跃,柜台偏好型,理财偏好型,2512
1099613056,0,0,0,建设路支行,女,70.0,,,,稳健保守型,无效户,老客户,正常类,非小微客户,,,,,,,,,,,,,,,,,4135
1099828083,0,0,0,永丰支行,女,40.0,已婚,本科,公共管理与社会组织,中庸型,无效户,老客户,正常类,非小微客户,,,,非储中理财偏好,,购买了大额他行理财,,,,,,潜在高端客户,中贡献,较高活跃,手机银行偏好型,理财偏好型,2398
1099848698,0,0,0,清江支行,男,71.0,,,,积极成长型,金卡,老客户,正常类,非小微客户,,,,非储中理财偏好,高金融资产,,,,,,,潜在高端客户,高贡献,高活跃,手机银行偏好型,资产均衡型,4059
1099890106,0,0,0,滨江支行,女,43.0,,,,,有效户,老客户,正常类,非小微客户,,,,,,,大额消费行为,,,从事优质行业,高代发额客户,潜在高端客户,较高贡献,中活跃,自助设备偏好型,活储偏好型,5038
1099928418,1,0,0,滨江支行,女,60.0,已婚,本科,公共管理与社会组织,中庸型,金卡,老客户,正常类,非小微客户,,,,非储中理财偏好,高金融资产,,,,,,,潜在高端客户,高贡献,高活跃,POS交易偏好型,资产均衡型,3234
